Sr_no,Abbrevation,Company Name,Reports,Industrial_vertical,Industry_sector,Date,Value,Start_year
173,EMR,Emerson Electric Company,reports,Industrials,Electrical Components & Equipment,3/31/65,32604,1890
174,ETR,Entergy Corp.,reports,Utilities,Electric Utilities,,65984,1913
175,EOG,EOG Resources,reports,Energy,Oil & Gas Exploration & Production,11/2/00,821189,
176,EFX,Equifax Inc.,reports,Industrials,Research & Consulting Services,6/19/97,33185,
177,EQIX,Equinix,reports,Real Estate,Specialized REITs,3/20/15,1101239,
178,EQR,Equity Residential,reports,Real Estate,Residential REITs,12/3/01,906107,
179,ESS,"Essex Property Trust, Inc.",reports,Real Estate,Residential REITs,4/2/14,920522,
180,EL,Estee Lauder Cos.,reports,Consumer Staples,Personal Products,1/5/06,1001250,
181,EVRG,Evergy,reports,Utilities,Electric Utilities,6/5/18,1711269,1909
182,ES,Eversource Energy,reports,Utilities,Multi-Utilities,,72741,1966
183,RE,Everest Re Group Ltd.,reports,Financials,Reinsurance,6/19/17,1095073,
184,EXC,Exelon Corp.,reports,Utilities,Multi-Utilities,,1109357,2000
185,EXPE,Expedia Group,reports,Consumer Discretionary,Internet & Direct Marketing Retail,10/2/07,1324424,
186,EXPD,Expeditors,reports,Industrials,Air Freight & Logistics,10/10/07,746515,
187,EXR,Extra Space Storage,reports,Real Estate,Specialized REITs,1/19/16,1289490,
188,XOM,Exxon Mobil Corp.,reports,Energy,Integrated Oil & Gas,,34088,1999
189,FFIV,F5 Networks,reports,Information Technology,Communications Equipment,12/20/10,1048695,1996
190,FB,"Facebook, Inc.",reports,Communication Services,Interactive Media & Services,12/23/13,1326801,
191,FAST,Fastenal Co,reports,Industrials,Building Products,9/15/09,815556,
192,FRT,Federal Realty Investment Trust,reports,Real Estate,Retail REITs,2/1/16,34903,
193,FDX,FedEx Corporation,reports,Industrials,Air Freight & Logistics,12/31/80,1048911,
194,FIS,Fidelity National Information Services,reports,Information Technology,Internet Software & Services,11/10/06,1136893,
